	JL_heart	JL_kidney	JL_muscle	JL_notochod	JL_ovary	JL_testis	Lj_brain	Lj_gill	Lj_heart	Lj_kidney	Lj_liver	LJ_Brain	LJ_Intestine
g30581	18.323395843191	22.9900273650296	14.1898798911806	41.9182609421385	76.2247541279011	23.7894417445895	281.355302632689	155.704975143755	143.034069067806	123.651956889561	79.5710577558902	217.261736134893	27.2053345823733
g30582	0	0	0	0	0	0	0	0	0	0	0	4.38270517919172	0
g30583	27.7820006418753	0	0	0	0	0	19.6888593188473	0	0	5.9834538831754	0	0	0
g30584	8.13131726103668	16.6945320666234	0	0	11.9385973108023	19.002541881349	115.251859427399	69.0967199994306	15.30171742804	24.5175671310602	22.380214200493	68.1457207740176	40.0309560526896
g30585	0	93.3376110997585	0	31.2005237694326	155.744428554557	141.655312206419	0	0	0	0	0	16.9331791014225	63.9455531750758
g30586	0	0	0	0	0	6.02206158172217	5.47863911480969	4.10574713040094	0	3.32992216107153	0	12.9575631384799	5.43691659846054
g30587	933.475221567009	114.07930245526	7922.3450849594	34.3205761463759	77.5013942092916	519.402811423537	31.5021749101557	23466.3977238066	1965.76063225553	646.213019382943	24.469034192539	37.2529940231296	1266.1219528665
g30588	0	16.9006374007793	0	84.7421633243848	0	0	23.3349443778931	0	0	0	0	0	0
g30589	0	114.07930245526	33.194183316869	137.282304585504	248.820265619304	311.641686854122	149.63533082324	135.746264498881	62.7370414549638	229.764629113936	103.993395318291	18.6264970115648	875.343572352146
g30590	0	0	0	0	0	0	0	0	0	0	0	10.13686912194	0
g30591	0	0	0	0	0	0	32.3099229847751	121.066902563105	42.8971223623686	29.4570037325559	12.5482226628405	12.7360663326939	0
g30592	0	0	0	0	0	11.4154464049129	0	0	0	0	0	4.09373560693732	0
g30593	0	1401.93841571524	0	14240.9715961589	29.4868969724635	425.534833455428	216.340237334805	0	20.1564791823177	96.8886990239487	0	314.181877303503	779.67349172502
g30594	0	0	0	0	0	40.7374754057676	0	6.94354294111924	8.20092045162926	0	0	0	9.19478542386709
g30595	90.4092224277975	30.9367599878671	0	0	27.6543779515759	35.2137499270195	64.0722201562489	240.081823726834	122.874808122716	64.9052624615637	49.7675271712657	8.41875571144172	63.5842788633521
g30596	0	0	0	0	0	0	0	7.82587160214544	0	0	0	0	0
g30597	0	0	0	0	0	30.5531065543257	55.592073370863	0	0	33.7889160461669	0	0	82.753068814804
g30598	0	0	0	0	0	0	0	0	0	0	0	0	0
g30599	0	54.0375643209128	34.9412455967042	36.126922259343	25.7622363022576	27.336990074923	62.1753452174126	27.956896578717	99.0584865078376	52.9063290722877	19.3176585730571	49.0170973988547	74.0422194658771
g30600	0	0	0	0	0	0	0	112.97101766778	0	0	0	0	0
g30601	0	0	0	0	0	0	131.259062125649	9.83668583325227	0	15.9558770218011	0	20.6961077906275	0
g30602	306.560007082762	41.9602032019349	20.3489246386936	21.0394336529507	18.7541183809538	63.6815707492459	7.24187928969098	0	0	0	0	68.5112533758707	14.3734576740911
g30603	0	0	0	0	0	0	0	0	5.06965991555264	0	0	0	0
g30604	0	0	0	7.30225024390977	0	0	0	0	0	0	0	0	0
g30605	0	0	0	0	0	0	0	7.57477411758462	0	0	7.85102701364886	0	0
g30606	0	0	0	0	0	0	0	0	0	0	0	0	0
g30607	0	0	0	0	0	0	0	15.5657446152563	0	0	0	32.7498848554986	0
g30608	0	0	0	0	17.0254779041007	0	0	12.3172413912028	0	9.98976648321459	12.7664526221943	0	0
g30609	0	19.9361887785892	0	13.3283790859712	0	0	0	0	0	0	0	25.3175687535832	0
g30610	0	0	0	0	19.3854451383324	0	18.7141633129638	0	0	22.7489731795975	0	0	0
g30611	0	0	0	0	0	0	0	11.8040229999027	0	0	0	0	0
g30612	0	9.84857287383541	0	14.814637185486	7.04291352148049	63.5240848503607	431.738440315442	321.001488774332	33.0986789450649	322.331673936816	15.8432595491259	13.4003575622769	67.4725261319742
g30613	0	0	0	0	0	0	99.4805523478605	0	35.2207952027868	0	0	86.2700914219846	0
g30614	703.948388011233	2066.15004298151	108.590636873029	1183.9960841575	3602.88226650904	2996.70320940271	1890.13049460935	1295.37085114174	3563.65053320389	2254.93911100665	2041.20865160065	1750.47525818721	1094.76054853389
g30615	0	44.8836599823974	130.600065508993	0	32.097212442157	0	0	243.82080294881	0	0	0	0	384.372177555099
g30616	0	0	0	0	0	0	5.62538837681353	0	0	0	0	0	0
g30617	43.7224928134431	7.48060999706626	7.25555919494405	67.5158875010673	10.6990708140523	158.94293682906	36.1500367821459	50.3122291799133	4.57100484189173	3.13886105346907	12.0339512422323	8.1427309340174	20.4998494696054
g30618	0	19.2133562029912	0	183.043072780671	17.1748242015051	14.5797280399589	26.5281472927628	49.7011494732747	5.87013253379779	64.4953344881221	15.4541268584457	15.6854711676336	0
g30619	0	0	0	0	0	0	85.6554604807861	12.8382123261782	0	17.3538239512036	31.0483213319225	4.50187238950207	5.66687681712655
g30620	0	0	34.4874631863575	11.8859138169267	0	0	8.18238309354695	12.2639199998989	21.7271139237971	0	0	12.90146979156	0
g30621	0	10.2543193218212	0	0	0	0	120.345387297224	21.2207155054431	726.84112946575	159.200211183813	181.455759180626	0	7.02522931261756
g30622	0	0	33.7567965934262	0	0	0	16.0180550390622	6.00204559317088	0	0	0	0	0
g30623	0	0	0	0	6.84590894745307	0	0	0	0	0	0	0	0
g30624	25.7273832310614	26.4106423690635	0	44.1422201239561	25.1823788935251	0	0	0	0	0	0	0	0
g30625	0	49.4801793781852	0	16.5400366970486	17.6921381834781	187.735955936218	0	0	0	0	0	143.62600105303	11.2996158221017
g30626	0	514.262252337998	14.0504479648123	2215.40226976606	95.8246143941116	27.4816302340496	0	0	0	12.156858683277	0	86.7265469321536	0
g30627	0	0	0	0	0	15.0551539543054	0	0	0	0	0	0	0
g30628	0	0	0	0	0	0	0	0	0	0	0	0	0
g30629	0	0	0	0	0	0	17.1052533448809	179.463879093544	0	5.19829477633339	0	0	0
g30630	0	0	0	0	0	0	11.5722275180164	0	0	0	0	6.08212147316401	0
g30631	61.5478168066161	84.2431771977307	40.8543794669156	63.3610636548478	75.3049984219837	47.9448749006342	974.144177990968	305.088594459023	424.681511387448	335.809842551136	146.814205155234	45.849838797698	129.858661832461
g30632	0	0	0	0	0	16.2313378569855	81.2165446902454	138.32839453011	58.8159763640286	49.3634945361971	0	5.820780316114	7.32709463464409
g30633	33.5480762467929	137.756138813899	33.4029517654028	120.877500892896	532.581576890067	372.402015737629	826.189115568233	935.413143388519	652.360011774885	419.067562534852	757.155020297435	220.237826300264	129.767915038728
g30634	0	0	0	63.8522346909319	0	303.70396947024	56.5155297391499	0	0	11.4500645737842	4.87754834402771	4.95056398978467	0
g30635	27.927456142618	57.3382881450522	0	359.377760695035	189.642430581017	21.7550915779491	0	7.41614010465092	0	6.01478086685695	0	7.80167414096955	29.4618255466317
g30636	0	0	0	0	0	0	3.9876170772349	0	10.5885302033694	0	3.09734610032139	0	0
g30637	0	0	0	0	0	0	0	0	0	0	0	7.48803899962404	0
g30638	0	212.091097522456	149.607586780254	154.684286856905	296.447141675273	555.980474199842	26.6215562621034	29.9256921124294	11.7816040291012	24.2709115261199	10.3390285320587	94.4442101994833	237.76938082
g30639	0	0	0	0	0	0	0	5.73474801614706	0	0	0	0	0
g30640	0	0	0	0	0	0	0	0	0	0	0	0	0
g30641	0	69.755497042707	16.9142335372581	139.905533335545	31.1772286460442	92.6323485341339	24.0780954727305	36.0887327385561	0	58.5387590099198	28.0536697748855	28.4736260049399	0
g30642	11963.7232478384	26909.677744875	30728.3296990444	14826.4888952344	5594.08559706164	12109.5055463316	21547.4876385465	27236.9399277755	11902.113007456	15591.1712613027	5746.72745893343	18434.9101851601	32155.4781680381
g30643	19.467679281898	19.9846953206296	6.46115490352681	0	16.6733694802932	25.2750759816806	0	72.3750315322502	8.14105971840568	0	0	7.25119105073081	0
g30644	0	0	0	0	0	0	0	0	0	0	0	0	0
g30645	0	12.3887025290781	0	49.6949518861552	8.8594115790569	9.40095586286946	162.499906776369	121.779060813476	45.4204825013314	46.7846529870004	59.7885903347106	80.9114802312319	0
g30646	0	0	0	0	0	0	0	0	0	0	0	0	0
